26
700.0
id,type,x,y,timeStart,timeEnd,quantity,serviceTimeTruck,serviceTimeDrone,drone
0,0,40.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
1,1,52.0,75.0,213.0,568.0,10.0,90.0,45.0,1
2,1,22.0,85.0,1846.0,2365.0,10.0,90.0,45.0,1
3,1,25.0,50.0,23.0,368.0,10.0,90.0,45.0,1
4,1,35.0,69.0,2603.0,2952.0,10.0,90.0,45.0,1
5,1,15.0,80.0,1689.0,2144.0,10.0,90.0,45.0,1
6,1,28.0,70.0,2385.0,2976.0,10.0,90.0,45.0,1
7,1,35.0,66.0,2628.0,3113.0,10.0,90.0,45.0,1
8,1,42.0,65.0,15.0,402.0,10.0,90.0,45.0,1
9,1,60.0,66.0,1154.0,1527.0,10.0,90.0,45.0,1
10,1,62.0,69.0,1030.0,1463.0,10.0,90.0,45.0,1
11,1,14.0,66.0,1519.0,1926.0,10.0,90.0,45.0,1
12,1,30.0,50.0,10.0,645.0,10.0,90.0,45.0,1
13,1,34.0,60.0,2653.0,3280.0,20.0,90.0,45.0,1
14,1,16.0,42.0,331.0,822.0,20.0,90.0,45.0,1
15,1,25.0,85.0,1985.0,2412.0,20.0,90.0,45.0,1
16,1,28.0,52.0,12.0,505.0,20.0,90.0,45.0,1
17,1,30.0,56.0,2675.0,3288.0,20.0,90.0,45.0,1
18,1,18.0,75.0,2143.0,2638.0,20.0,90.0,45.0,1
19,1,15.0,75.0,1560.0,2083.0,20.0,90.0,45.0,1
20,1,58.0,70.0,965.0,1340.0,20.0,90.0,45.0,1
21,1,22.0,75.0,2310.0,2659.0,30.0,90.0,45.0,0
22,1,45.0,70.0,22.0,563.0,30.0,90.0,45.0,0
23,1,20.0,80.0,2077.0,2514.0,40.0,90.0,45.0,0
24,1,20.0,85.0,1763.0,2264.0,40.0,90.0,45.0,0
25,1,22.0,66.0,2380.0,2787.0,40.0,90.0,45.0,0
