101
1000.0
id,type,x,y,timeStart,timeEnd,quantity,serviceTimeTruck,serviceTimeDrone,drone
0,0,35.0,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
1,1,15.0,19.0,675.0,930.0,1.0,10.0,5.0,1
2,1,2.0,48.0,458.0,685.0,1.0,10.0,5.0,1
3,1,22.0,22.0,18.0,673.0,2.0,10.0,5.0,1
4,1,63.0,23.0,442.0,917.0,2.0,10.0,5.0,1
5,1,5.0,30.0,409.0,959.0,2.0,10.0,5.0,1
6,1,25.0,30.0,266.0,663.0,3.0,10.0,5.0,1
7,1,65.0,35.0,633.0,918.0,3.0,10.0,5.0,1
8,1,61.0,52.0,212.0,671.0,3.0,10.0,5.0,1
9,1,31.0,67.0,345.0,534.0,3.0,10.0,5.0,1
10,1,17.0,34.0,651.0,932.0,3.0,10.0,5.0,1
11,1,20.0,50.0,292.0,449.0,5.0,10.0,5.0,1
12,1,42.0,7.0,225.0,682.0,5.0,10.0,5.0,1
13,1,37.0,56.0,249.0,968.0,5.0,10.0,5.0,1
14,1,24.0,12.0,25.0,616.0,5.0,10.0,5.0,1
15,1,2.0,60.0,41.0,710.0,5.0,10.0,5.0,1
16,1,56.0,37.0,452.0,968.0,6.0,10.0,5.0,1
17,1,65.0,20.0,400.0,956.0,6.0,10.0,5.0,1
18,1,37.0,47.0,12.0,535.0,6.0,10.0,5.0,1
19,1,53.0,12.0,426.0,851.0,6.0,10.0,5.0,1
20,1,32.0,12.0,366.0,585.0,7.0,10.0,5.0,1
21,1,11.0,31.0,323.0,624.0,7.0,10.0,5.0,1
22,1,23.0,3.0,578.0,747.0,7.0,10.0,5.0,1
23,1,35.0,17.0,74.0,351.0,7.0,10.0,5.0,1
24,1,20.0,20.0,563.0,736.0,8.0,10.0,5.0,1
25,1,46.0,13.0,479.0,965.0,8.0,10.0,5.0,1
26,1,63.0,65.0,439.0,948.0,8.0,10.0,5.0,1
27,1,30.0,5.0,30.0,529.0,8.0,10.0,5.0,1
28,1,15.0,77.0,46.0,523.0,9.0,10.0,5.0,1
29,1,27.0,43.0,111.0,362.0,9.0,10.0,5.0,1
30,1,40.0,25.0,243.0,554.0,9.0,10.0,5.0,1
31,1,20.0,26.0,185.0,580.0,9.0,10.0,5.0,1
32,1,10.0,43.0,288.0,597.0,9.0,10.0,5.0,1
33,1,44.0,17.0,263.0,444.0,9.0,10.0,5.0,1
34,1,26.0,52.0,114.0,553.0,9.0,10.0,5.0,1
35,1,64.0,42.0,129.0,374.0,9.0,10.0,5.0,1
36,1,45.0,65.0,538.0,709.0,9.0,10.0,5.0,1
37,1,27.0,69.0,34.0,348.0,10.0,10.0,5.0,1
38,1,19.0,21.0,122.0,367.0,10.0,10.0,5.0,1
39,1,41.0,49.0,636.0,919.0,10.0,10.0,5.0,1
40,1,49.0,58.0,296.0,505.0,10.0,10.0,5.0,1
41,1,14.0,37.0,21.0,328.0,11.0,10.0,5.0,1
42,1,22.0,27.0,565.0,732.0,11.0,10.0,5.0,1
43,1,53.0,52.0,24.0,646.0,11.0,10.0,5.0,1
44,1,45.0,20.0,156.0,389.0,11.0,10.0,5.0,1
45,1,20.0,65.0,33.0,510.0,12.0,10.0,5.0,1
46,1,25.0,21.0,582.0,703.0,12.0,10.0,5.0,1
47,1,20.0,40.0,349.0,462.0,12.0,10.0,5.0,1
48,1,49.0,42.0,166.0,497.0,13.0,10.0,5.0,1
49,1,12.0,24.0,246.0,421.0,13.0,10.0,5.0,1
50,1,47.0,47.0,499.0,690.0,13.0,10.0,5.0,1
51,1,55.0,45.0,498.0,613.0,13.0,10.0,5.0,1
52,1,37.0,31.0,301.0,602.0,14.0,10.0,5.0,1
53,1,65.0,55.0,487.0,656.0,14.0,10.0,5.0,1
54,1,53.0,43.0,430.0,970.0,14.0,10.0,5.0,1
55,1,26.0,35.0,649.0,981.0,15.0,10.0,5.0,1
56,1,57.0,68.0,218.0,417.0,15.0,10.0,5.0,1
57,1,41.0,37.0,44.0,325.0,16.0,10.0,5.0,1
58,1,55.0,60.0,254.0,643.0,16.0,10.0,5.0,1
59,1,6.0,38.0,29.0,669.0,16.0,10.0,5.0,1
60,1,30.0,60.0,496.0,713.0,16.0,10.0,5.0,1
61,1,15.0,47.0,99.0,352.0,16.0,10.0,5.0,1
62,1,5.0,5.0,147.0,560.0,16.0,10.0,5.0,1
63,1,35.0,40.0,5.0,612.0,16.0,10.0,5.0,1
64,1,18.0,18.0,297.0,965.0,17.0,10.0,5.0,1
