26
1000.0
id,type,x,y,timeStart,timeEnd,quantity,serviceTimeTruck,serviceTimeDrone,drone
0,0,40.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
1,1,5.0,35.0,683.0,743.0,10.0,10.0,5.0,1
2,1,40.0,5.0,45.0,525.0,10.0,10.0,5.0,1
3,1,22.0,85.0,291.0,771.0,10.0,10.0,5.0,1
4,1,42.0,15.0,494.0,699.0,10.0,10.0,5.0,1
5,1,15.0,80.0,397.0,457.0,10.0,10.0,5.0,1
6,1,5.0,45.0,35.0,366.0,10.0,10.0,5.0,1
7,1,38.0,15.0,609.0,872.0,10.0,10.0,5.0,1
8,1,44.0,5.0,306.0,483.0,20.0,10.0,5.0,1
9,1,0.0,45.0,698.0,827.0,20.0,10.0,5.0,1
10,1,0.0,40.0,204.0,425.0,20.0,10.0,5.0,1
11,1,2.0,40.0,204.0,264.0,20.0,10.0,5.0,1
12,1,25.0,85.0,431.0,911.0,20.0,10.0,5.0,1
13,1,10.0,35.0,401.0,461.0,20.0,10.0,5.0,1
14,1,15.0,75.0,120.0,600.0,20.0,10.0,5.0,1
15,1,18.0,75.0,393.0,502.0,20.0,10.0,5.0,1
16,1,20.0,85.0,40.0,520.0,20.0,10.0,5.0,1
17,1,8.0,45.0,43.0,523.0,20.0,10.0,5.0,1
18,1,35.0,5.0,821.0,881.0,20.0,10.0,5.0,1
19,1,10.0,40.0,535.0,622.0,30.0,10.0,5.0,1
20,1,22.0,75.0,30.0,510.0,30.0,10.0,5.0,1
21,1,38.0,5.0,231.0,291.0,30.0,10.0,5.0,0
22,1,8.0,40.0,225.0,285.0,40.0,10.0,5.0,0
23,1,42.0,10.0,199.0,428.0,40.0,10.0,5.0,0
24,1,20.0,80.0,674.0,734.0,40.0,10.0,5.0,0
25,1,40.0,15.0,383.0,486.0,40.0,10.0,5.0,0
